NAME=void ID=0 WALKABLE=1111 BOATONLY=0
# comment lines start with a # 
# each tile is its own line
# each property is space separated and equal assigned with the left being name and right being value
# this is the first tile (the most basic, flat grass type)
NAME=grass ID=1 WALKABLE=1111 BOATONLY=0
#name is the file name (+.png) in the tileTextures folder
#id don't change these!! just increment each tile by 1
#classname is Tile if theres no extra features, but some tiles (ocean or other tiles that are dynamic) need a class name associated
#- (they must extend Tile)
#offset is the y offset of the tile on screen (eg for taller tiles)
NAME=ocean ID=2 WALKABLE=0000 BOATONLY=1
